Data File,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY
C96_GDAS_forcing_2016-07-08.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-24.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-26.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-24.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-15.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-03-21.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-11.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-08-20.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-08-01.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-29.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-24.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-16.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-02.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-04-25.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-07.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-02.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-26.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-07-24.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-27.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-08-12.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-06.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-07-03.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
