Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),Data Format,File Size (Bytes),Version (YYYY),Sub-Category 1,Sub-Category 2,Sub-Category 3
ne_10m_airports.README.html,inputs,shapefiles,,,.html,23653,,NaturalEarth,natural_earth,
ne_10m_admin_0_antarctic_claim_limit_lines.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_50m_admin_1_states_provinces_scale_rank.shx,inputs,shapefiles,,,.shx,900,,NaturalEarth,natural_earth,
ne_10m_roads.prj,inputs,shapefiles,,,.prj,145,,NaturalEarth,natural_earth,
ne_50m_populated_places_simple.README.html,inputs,shapefiles,,,.html,24307,,NaturalEarth,natural_earth,
ne_110m_admin_0_countries.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_50m_admin_0_boundary_lines_land.shx,inputs,shapefiles,,,.shx,2988,,NaturalEarth,natural_earth,
ne_10m_roads_north_america.prj,inputs,shapefiles,,,.prj,145,,NaturalEarth,natural_earth,
ne_10m_admin_0_countries_lakes.dbf,inputs,shapefiles,,,.dbf,599487,,NaturalEarth,natural_earth,
ne_10m_admin_1_seams.dbf,inputs,shapefiles,,,.dbf,613,,NaturalEarth,natural_earth,
ne_110m_admin_0_map_units.shx,inputs,shapefiles,,,.shx,1564,,NaturalEarth,natural_earth,
ne_10m_admin_0_antarctic_claim_limit_lines.prj,inputs,shapefiles,,,.prj,147,,NaturalEarth,natural_earth,
ne_50m_admin_0_countries.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_110m_admin_0_countries_lakes.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_10m_admin_1_states_provinces_lines.shp,inputs,shapefiles,,,.shp,7365240,,NaturalEarth,natural_earth,
ne_110m_admin_1_states_provinces_scale_rank.shx,inputs,shapefiles,,,.shx,508,,NaturalEarth,natural_earth,
ne_50m_ports.shx,inputs,shapefiles,,,.shx,1244,,NaturalEarth,natural_earth,
ne_50m_admin_0_boundary_lines_maritime_indicator.README.html,inputs,shapefiles,,,.html,24195,,NaturalEarth,natural_earth,
ne_10m_urban_areas.shp,inputs,shapefiles,,,.shp,19119748,,NaturalEarth,natural_earth,
ne_10m_admin_1_label_points_details.shx,inputs,shapefiles,,,.shx,37276,,NaturalEarth,natural_earth,
ne_10m_admin_0_map_subunits.README.html,inputs,shapefiles,,,.html,100958,,NaturalEarth,natural_earth,
ne_10m_admin_1_label_points.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_110m_admin_0_pacific_groupings.README.html,inputs,shapefiles,,,.html,23059,,NaturalEarth,natural_earth,
